,Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date
0,TXN_1961373,Coffee,2.0,2.0,4.0,Credit Card,Takeaway,2023-09-08
1,TXN_4977031,Cake,4.0,3.0,12.0,Cash,In-store,2023-05-16
4,TXN_3160411,Coffee,2.0,2.0,4.0,Digital Wallet,In-store,2023-06-11
10,TXN_2548360,Salad,5.0,5.0,25.0,Cash,Takeaway,2023-11-07
11,TXN_3051279,Sandwich,2.0,4.0,8.0,Credit Card,Takeaway,ERROR
12,TXN_7619095,Sandwich,2.0,4.0,8.0,Cash,In-store,2023-05-03
15,TXN_2847255,Salad,3.0,5.0,15.0,Credit Card,In-store,2023-11-15
17,TXN_6769710,Juice,2.0,3.0,6.0,Cash,In-store,2023-02-24
19,TXN_3709394,Juice,4.0,3.0,12.0,Cash,Takeaway,2023-01-15
21,TXN_3567645,Smoothie,4.0,4.0,16.0,Credit Card,Takeaway,2023-03-30
22,TXN_5132361,Sandwich,3.0,4.0,12.0,Digital Wallet,Takeaway,2023-12-01
24,TXN_9400181,Sandwich,5.0,4.0,20.0,Cash,In-store,2023-06-03
26,TXN_5183041,Cookie,5.0,1.0,5.0,Credit Card,In-store,2023-04-20
27,TXN_5695074,Juice,4.0,3.0,12.0,Credit Card,Takeaway,2023-04-10
29,TXN_7640952,Cake,4.0,3.0,12.0,Digital Wallet,Takeaway,ERROR
34,TXN_8853997,Smoothie,2.0,4.0,8.0,Digital Wallet,Takeaway,2023-10-09
37,TXN_1080432,Salad,2.0,5.0,10.0,Credit Card,In-store,2023-04-29
46,TXN_8078640,Juice,4.0,3.0,12.0,Digital Wallet,In-store,2023-11-03
54,TXN_8614868,Smoothie,5.0,4.0,20.0,Digital Wallet,Takeaway,2023-12-05
58,TXN_6421134,Sandwich,4.0,4.0,16.0,Cash,Takeaway,2023-11-03
67,TXN_3068204,Cookie,1.0,1.0,1.0,Credit Card,Takeaway,2023-10-03
70,TXN_2621580,Tea,2.0,1.5,3.0,Cash,In-store,2023-03-22
71,TXN_4726376,Cake,2.0,3.0,6.0,Credit Card,In-store,2023-01-31
72,TXN_6044979,Cookie,1.0,1.0,1.0,Cash,In-store,2023-12-08
75,TXN_6420335,Coffee,1.0,2.0,2.0,Cash,Takeaway,2023-07-16
79,TXN_3829165,Juice,4.0,3.0,12.0,Cash,In-store,2023-06-15
80,TXN_3748616,Coffee,2.0,2.0,4.0,Credit Card,In-store,2023-12-09
83,TXN_5266394,Cake,3.0,3.0,9.0,Cash,In-store,2023-10-28
90,TXN_8976658,Tea,2.0,1.5,3.0,Credit Card,In-store,2023-08-16
96,TXN_5220895,Salad,5.0,5.0,25.0,Cash,In-store,2023-06-10
97,TXN_3085509,Coffee,4.0,2.0,8.0,Digital Wallet,In-store,2023-04-15
98,TXN_9999113,Juice,4.0,3.0,12.0,Cash,Takeaway,2023-05-27
99,TXN_8779771,Coffee,4.0,2.0,8.0,Cash,In-store,2023-07-25
102,TXN_3808639,Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-12-15
108,TXN_4358673,Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-12-28
115,TXN_1001832,Salad,2.0,5.0,10.0,Cash,Takeaway,UNKNOWN
119,TXN_4368416,Salad,2.0,5.0,10.0,Credit Card,Takeaway,2023-02-24
123,TXN_6258471,Coffee,5.0,2.0,10.0,Digital Wallet,In-store,2023-09-23
125,TXN_4685453,Tea,4.0,1.5,6.0,Cash,In-store,2023-09-14
127,TXN_9096052,Smoothie,4.0,4.0,16.0,Credit Card,Takeaway,2023-12-28
128,TXN_5916991,Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-02-06
129,TXN_3407169,Sandwich,2.0,4.0,8.0,Cash,In-store,2023-03-11
132,TXN_2181545,Juice,4.0,3.0,12.0,Credit Card,Takeaway,2023-07-14
133,TXN_1150033,Juice,5.0,3.0,15.0,Cash,In-store,2023-04-18
135,TXN_8700451,Tea,5.0,1.5,7.5,Credit Card,Takeaway,2023-12-12
136,TXN_6380550,Coffee,5.0,2.0,10.0,Cash,In-store,2023-01-05
137,TXN_4885518,Salad,3.0,5.0,15.0,Credit Card,In-store,2023-06-10
147,TXN_9336980,Salad,4.0,5.0,20.0,Cash,In-store,2023-06-06
149,TXN_5072031,Cake,2.0,3.0,6.0,Cash,Takeaway,2023-03-23
151,TXN_4031509,Smoothie,4.0,4.0,16.0,Credit Card,Takeaway,2023-01-04
156,TXN_1928241,Coffee,3.0,2.0,6.0,Cash,In-store,2023-04-30
157,TXN_4283157,Salad,5.0,5.0,25.0,Digital Wallet,In-store,2023-11-25
161,TXN_7965998,Juice,1.0,3.0,3.0,Credit Card,In-store,2023-11-02
166,TXN_1648671,Sandwich,3.0,4.0,12.0,Cash,Takeaway,2023-05-21
167,TXN_4062737,Cake,3.0,3.0,9.0,Cash,In-store,2023-07-02
169,TXN_9249507,Cookie,4.0,1.0,4.0,Credit Card,In-store,2023-11-21
173,TXN_9836934,Cookie,3.0,1.0,3.0,Digital Wallet,In-store,2023-03-13
176,TXN_3925836,Cookie,3.0,1.0,3.0,Digital Wallet,In-store,2023-02-16
179,TXN_3978874,Smoothie,5.0,4.0,20.0,Credit Card,In-store,2023-03-13
182,TXN_8007337,Cake,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-11-01
185,TXN_5365809,Cake,3.0,3.0,9.0,Cash,In-store,2023-09-14
187,TXN_6629480,Smoothie,5.0,4.0,20.0,Credit Card,In-store,2023-02-28
192,TXN_7412722,Juice,4.0,3.0,12.0,Cash,In-store,2023-04-07
194,TXN_6000201,Cookie,3.0,1.0,3.0,Cash,Takeaway,2023-02-16
196,TXN_3800182,Tea,2.0,1.5,3.0,Cash,In-store,2023-10-26
200,TXN_2950680,Coffee,2.0,2.0,4.0,Credit Card,Takeaway,2023-12-10
203,TXN_8964522,Juice,3.0,3.0,9.0,Credit Card,Takeaway,2023-10-28
204,TXN_4088917,Coffee,3.0,2.0,6.0,Cash,Takeaway,2023-02-04
205,TXN_3779366,Cookie,1.0,1.0,1.0,Digital Wallet,In-store,2023-04-15
208,TXN_3171373,Smoothie,3.0,4.0,12.0,Credit Card,In-store,2023-05-10
215,TXN_3857960,Salad,4.0,5.0,20.0,Cash,In-store,2023-04-26
217,TXN_9250710,Salad,1.0,5.0,5.0,Cash,In-store,2023-05-28
220,TXN_9879996,Coffee,4.0,2.0,8.0,Digital Wallet,In-store,2023-03-01
221,TXN_4291940,Cake,3.0,3.0,9.0,Credit Card,In-store,2023-11-13
224,TXN_5761073,Cookie,1.0,1.0,1.0,Cash,In-store,UNKNOWN
225,TXN_5047447,Salad,1.0,5.0,5.0,Digital Wallet,Takeaway,2023-12-27
226,TXN_6623508,Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-05-18
228,TXN_9350833,Cake,1.0,3.0,3.0,Cash,Takeaway,2023-01-17
231,TXN_2230167,Cake,4.0,3.0,12.0,Digital Wallet,Takeaway,2023-09-22
242,TXN_3786188,Tea,3.0,1.5,4.5,Credit Card,In-store,2023-10-20
